"Date","Price","Open","High","Low","Vol.","Change %"
"May 31, 2022","8.6397","10.8090","10.9985","7.9481","4.86M","-19.63%"
"May 30, 2022","10.7500","6.1124","11.9900","5.8001","4.33M","75.28%"
"May 29, 2022","6.1332","6.4015","7.2839","5.6273","3.10M","4,514,253.19%"
"May 27, 2022","0.0001","0.0001","0.0001","0.0001","53.14B","0.00%"
"May 26, 2022","0.0001","0.0002","0.0002","0.0001","55.38B","0.00%"
"May 25, 2022","0.0002","0.0002","0.0002","0.0002","58.39B","0.00%"
"May 24, 2022","0.0002","0.0002","0.0002","0.0001","39.40B","0.00%"
"May 23, 2022","0.0002","0.0002","0.0002","0.0002","83.34B","0.00%"
"May 22, 2022","0.0002","0.0001","0.0002","0.0001","166.34B","53.27%"
"May 21, 2022","0.0001","0.0001","0.0001","0.0001","74.23B","0.00%"
"May 20, 2022","0.0001","0.0001","0.0001","0.0001","33.45B","0.00%"
"May 19, 2022","0.0001","0.0001","0.0002","0.0001","54.77B","0.00%"
"May 18, 2022","0.0001","0.0002","0.0002","0.0001","47.18B","0.00%"
"May 17, 2022","0.0002","0.0002","0.0002","0.0002","85.45B","0.00%"
"May 16, 2022","0.0002","0.0002","0.0003","0.0001","244.64B","0.00%"
"May 15, 2022","0.0002","0.0005","0.0005","0.0002","174.10B","-52.70%"
"May 14, 2022","0.0005","0.0001","0.0006","0.0001","185.84B","305.66%"
"May 13, 2022","0.0001","0.0472","0.0490","0.0000","104.15B","-99.76%"
"May 12, 2022","0.0470","1.8591","2.2944","0.0301","121.09M","-97.47%"
"May 11, 2022","1.8556","17.3119","19.4674","0.7293","73.15M","-89.22%"
"May 10, 2022","17.2178","30.7587","39.8769","13.5772","10.50M","-43.88%"
"May 09, 2022","30.6785","64.2983","65.2125","30.3496","3.79M","-52.25%"
"May 08, 2022","64.2546","68.1377","68.4677","59.4613","2.43M","-5.69%"
"May 07, 2022","68.1287","77.3095","77.4719","63.2127","974.00K","-11.88%"
"May 06, 2022","77.3116","82.3801","83.0338","77.2271","889.46K","-6.15%"
"May 05, 2022","82.3749","86.1760","87.8235","79.0109","584.17K","-4.40%"
"May 04, 2022","86.1651","82.4998","88.2774","82.0730","584.83K","4.44%"
"May 03, 2022","82.4998","84.2458","85.8795","81.2139","419.83K","-2.14%"
"May 02, 2022","84.3053","82.2113","85.1594","80.5204","621.55K","2.48%"
"May 01, 2022","82.2640","78.0981","82.6467","76.9680","598.32K","5.28%"
